Target,Source
ATF1,PGK1 
ATF1,PLAUR 
ATF1,POLB 
ATF1,POLG2 
ATF1,PTGS2 
ATF1,RB1 
ATF1,SLC19A1 
ATF1,SLC20A1 
ATF1,SLC6A4 
ATF1,SPRR3 
ATF1,ST3GAL5 
ATF1,TEAD1 
ATF1,ERBB2 
ATF1,EXOC3 
ATF1,FLI1 
ATF1,TFRC 
ATF1,CD8A 
ATF1,CCNA1 
ATF1,CCL5 
ATF1,CALCA 
ATF1,BRCA1 
ATF1,BCL2 
ATF1,ATM 
ATF1,AVP 
ATF1,ARNT2 
ATF1,AQP3 
ATF1,APEX1 
ATF1,AGXT 
ATF1,AGT 
ATF1,ADRB3 
ATF1,ACHE 
ATF1,TG 
ATF1,TGFB2 
ATF1,TNF 
ATF1,TOP1 
ATF1,TOP2A 
ATF1,UBE2I 
ATF1,UCP1 
ATF1,UGT8 
ATF1,VIPR1 
ATF1,CYP11B2 
ATF1,DPAGT1 
ATF1,EGR1 
ATF1,VIP 
ATF1,TSPAN31 
ATF1,TH 
ATF1,STAT3 
ATF1,MUC1 
ATF1,LDHA 
ATF2,PENK 
ATF2,ACE 
ATF2,APOC3 
ATF2,ATF3 
ATF2,CCNA1 
ATF2,CCND1 
ATF2,CDKN1A 
ATF2,HLA-G 
ATF2,IFNB1 
ATF2,IFNG 
ATF2,IMPDH2 
ATF2,INS 
ATF2,JUN 
ATF2,NT5E 
ATF2,PCK1 
ATF2,PLAT 
ATF2,PTGS2 
ATF2,SELE 
ATF2,TGFB2 
ATF2,TNF 
ATF2,ATF2 
ATF2,CYP11B2 
ATF2,FN1 
ATF2,NR4A2 
ATF2,RB1 
ATF2,VIP 
ATF2,CGA 
ATF2,CYP11B1 
ATF2,FOS 
ATF2,HFE 
ATF2,HLA-E 
ATF2,HLA-F 
ATF2,MAPK14 
ATF2,MAPK13 
ATF2,MAPK12 
ATF2,MAPK11 
ATF3,ASNS 
ATF4,MKNK2 
ATF4,RPS6KA5 
ATF4,RPS6KA4 
ATF4,RPS6KA3 
ATF4,RPS6KA2 
ATF4,RPS6KA1 
ATF4,PRKX 
ATF4,PRKACG 
ATF4,PRKACB 
ATF4,PRKACA 
ATF4,CAMK2B 
ATF4,CAMK2G 
ATF4,CAMK4 
ATF4,CREBBP 
ATF4,DDIT3 
ATF4,EIF2S1 
ATF4,EP300 
ATF4,GSK3B 
ATF4,MAPKAPK2 
ATF4,MAPKAPK3 
ATF4,MKNK1 
ATF4,PPP1R15A 
ATF4,PTGS2 
ATF4,PPP1R15A 
ATF4,HPGD 
ATF4,DISC1 
ATF4,CGA 
ATF4,ASNS 
ATF4,CAMK2A 
ATF4,CXCR5 
ATF4,VIP 
ATF4,RPS6KA6 
ATF5,DISC1 
ATF6,HSPA5 
ATF6,ATP2A2 
ATF6,PSEN2 
ATF6,PSEN1 
ATF6,DDIT3 
ATF6,XBP1 
ATF6,SRF 
ATF6B,DDIT3 
ATM,TP53 
ATM,CHEK2 
ATM,CHEK1 
BCL6,PRDM1 
BRCA1,AKR1B1 
BRCA1,TP53 
BRCA1,TAF10 
BRCA1,STAT3 
BRCA1,ELK4 
BRCA1,ELK1 
BRCA1,DDB2 
BRCA1,BCL2 
BRCA1,AREG 
BRCA1,AR 
BRCA1,ESR1 
BRCA1,ERG 
BRCA1,ETS1 
BRCA1,GADD45A 
BRCA1,IGF1R 
BRCA1,JAK1 
BRCA1,JAK2 
BRCA1,KCNH4 
BRCA1,PCNA 
BRCA2,FHIT 
BRCA2,ESR1 
BRCA2,RAD51 
CEBPA,HOMER3 
CEBPA,HP 
CEBPA,HPX 
CEBPA,HSPA4 
CEBPA,IGF1 
CEBPA,IGFBP1 
CEBPA,IL10 
CEBPA,IL12B 
CEBPA,IL1A 
CEBPA,IL3 
CEBPA,IL4 
CEBPA,IL5 
CEBPA,IRS1 
CEBPA,ITGA2 
CEBPA,ITGA5 
CEBPA,ITGAL 
CEBPA,ITGB2 
CEBPA,IVL 
CEBPA,KAT7 
CEBPA,KCNH4 
CEBPA,KCNMA1 
CEBPA,LBP 
CEBPA,LDLR 
CEBPA,LEP 
CEBPA,LIPC 
CEBPA,LSP1 
CEBPA,LTF 
CEBPA,MAT2A 
CEBPA,MME 
CEBPA,MMP11 
CEBPA,MMP12 
CEBPA,MPO 
CEBPA,MSR1 
CEBPA,MYBL1 
CEBPA,MYC 
CEBPA,NFYA 
CEBPA,NFYB 
CEBPA,NFYC 
CEBPA,NOS2 
CEBPA,NR5A1 
CEBPA,PCK2 
CEBPA,PCNA 
CEBPA,PPARG 
CEBPA,PREB 
CEBPA,PSG1 
CEBPA,PTGS2 
CEBPA,RB1 
CEBPA,RNASE2 
CEBPA,SCD 
CEBPA,SERPINC1 
CEBPA,SFTPD 
CEBPA,SLC10A1 
CEBPA,SLC9A1 
CEBPA,SOD1 
CEBPA,SP1 
CEBPA,SREBF1 
CEBPA,SREBF2 
CEBPA,STAR 
CEBPA,TF 
CEBPA,TGFB1 
CEBPA,TK1 
CEBPA,TOP2A 
CEBPA,TP53 
CEBPA,TPH1 
CEBPA,TWF2 
CEBPA,UBE2L3 
CEBPA,UBP1 
CEBPA,XDH 
CEBPA,GDNF 
CEBPA,GADD45A 
CEBPA,FN1 
CEBPA,FGL2 
CEBPA,FGFBP1 
CEBPA,FGA 
CEBPA,FCAR 
CEBPA,FASN 
CEBPA,FAS 
CEBPA,F9 
CEBPA,F8 
CEBPA,F3 
CEBPA,EPX 
CEBPA,CPS1 
CEBPA,CSF3R 
CEBPA,CSRP1 
CEBPA,IL6 
CEBPA,TFAP2A 
CEBPA,TIMP2 
CEBPA,TSC22D3 
CEBPA,EPO 
CEBPA,ENPP3 
CEBPA,ELN 
CEBPA,ELK1 
CEBPA,RUNX1T1 
CEBPA,FLT3 
CEBPA,ELANE 
CEBPA,EHHADH 
CEBPA,EDN1 
CEBPA,E2F3 
CEBPA,E2F2 
CEBPA,E2F1 
CEBPA,CXCL9 
CEBPA,CSN2 
CEBPA,CSF1 
CEBPA,CREB1 
CEBPA,COMT 
CEBPA,CFTR 
CEBPA,CETP 
CEBPA,CEL 
CEBPA,CDKN1A 
CEBPA,CDK2 
CEBPA,CDH13 
CEBPA,CD19 
CEBPA,CD14 
CEBPA,CCR2 
CEBPA,CCNE1 
CEBPA,CCND1 
CEBPA,CCNB1 
CEBPA,CCL5 
CEBPA,BCL2 
CEBPA,APOB 
CEBPA,APOA1 
CEBPA,ALOX5AP 
CEBPA,ALB 
CEBPA,AGXT 
CEBPA,AGT 
CEBPA,AEBP1 
CEBPA,ADIPOQ 
CEBPA,ACE 
CEBPA,ACACA 
CEBPA,ABCC1 
CEBPA,ABCB1 
CEBPA,GPX4 
CEBPA,GNRHR 
CEBPA,GSK3A 
CEBPA,GSK3B 
CEBPA,GUCY2C 
CEBPA,HBE1 
CEBPA,HMGB1 
CEBPA,HMGCS1 
CEBPA,HMGCS2 
CEBPA,HNF4A 
CEBPB,IL3 
CEBPB,TRIM26 
CEBPB,TNFAIP6 
CEBPB,TNF 
CEBPB,TGFB1 
CEBPB,SOD1 
CEBPB,SMAD4 
CEBPB,SMAD3 
CEBPB,SH2D3C 
CEBPB,SFTPD 
CEBPB,PTGS2 
CEBPB,PTGS1 
CEBPB,PRL 
CEBPB,PRG2 
CEBPB,PPARG 
CEBPB,OTC 
CEBPB,NOS2 
CEBPB,MIA 
CEBPB,MEFV 
CEBPB,LEP 
CEBPB,ITGB2 
CEBPB,INSR 
CEBPB,IL6 
CEBPB,IL5 
CEBPB,IL4 
CEBPB,IL24 
CEBPB,IL1B 
CEBPB,IL1A 
CEBPB,IL18BP 
CEBPB,IL12B 
CEBPB,IL10 
CEBPB,ICAM1 
CEBPB,HPX 
CEBPB,TOP1 
CEBPB,TF 
CEBPB,SPINK1 
